idThumb	idThumbUDF	idPath	pathInfo	parkCode	siteName	Date	uf_ParkCode	uf_Ecosite	uf_TripDescription	uf_Caption	uf_PhotoNotes	uf_PhotoYear	uf_PhotoDate	filePath	fileName	photoNumber
286092	NA	14746	BAND.Capulin.20131117.DSCN2276.zip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Capulin\20131117\DSCN2276.zip	DSCN2275.JPG	25
286093	NA	14746	BAND.Capulin.20131117.DSCN2276.zip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Capulin\20131117\DSCN2276.zip	DSCN2276.JPG	26
172313	172313	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 001.jpg	1
172314	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 002.jpg	2
172315	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 003.jpg	3
172316	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 004.jpg	4
172317	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 005.jpg	5
172318	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 006.jpg	6
172319	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 007.jpg	7
172320	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 008.jpg	8
172321	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 009.jpg	9
172322	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 010.jpg	10
172323	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 011.jpg	11
172324	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 012.jpg	12
172325	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 013.jpg	13
172326	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 014.jpg	14
172327	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 015.jpg	15
172328	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 016.jpg	16
172329	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 017.jpg	17
172330	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 018.jpg	18
172331	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 019.jpg	19
172332	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 020.jpg	20
172333	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 021.jpg	21
172334	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 022.jpg	22
172335	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 023.jpg	23
172336	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 024.jpg	24
172337	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 026.jpg	25
172338	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 027.jpg	26
172339	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 028.jpg	27
172340	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 029.jpg	28
172341	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 030.jpg	29
172342	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 031.jpg	30
172343	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 032.jpg	31
172344	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 033.jpg	32
172345	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 034.jpg	33
172346	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 035.jpg	34
172347	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 036.jpg	35
172348	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 037.jpg	36
172349	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 038.jpg	37
172350	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 039.jpg	38
172351	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 040.jpg	39
172352	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 041.jpg	40
172353	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 042.jpg	41
172354	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 043.jpg	42
172355	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 044.jpg	43
172356	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 046.jpg	44
172357	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 047.jpg	45
172358	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 048.jpg	46
172359	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 049.jpg	47
172360	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 050.jpg	48
172361	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 051.jpg	49
172362	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 052.jpg	50
172363	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 053.jpg	51
172364	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 054.jpg	52
172365	NA	7647	BAND.Rito	NA	BAND	Rito	NA	NA	NA	NA	NA	NA	NA	Active_Projects\IM\Monitoring\Water_Resources\field_resources\images\BAND\Rito	BAND_29Aug07 055.jpg	53
